input,target
This one got can’t breathe good.,The child has shortness of breath.
Lil one got drink water plenty.,This person has excessive thirst.
Me got leg swell up.,This person has swollen leg.
Me got blood nose.,I have been experiencing nosebleed.
Lil one got blood nose.,That person has nosebleed.
Old fella got head hurtin’.,This person has headache.
She got vomit come up.,That person has vomiting.
That one got belly pain.,I have been experiencing abdominal pain.
Old fella got hungry all time.,That person has increased appetite.
Old fella got cough bad.,The child has severe cough.
He got skin rash.,He has skin rash.
She got drink water plenty.,The elderly man has excessive thirst.
Lil one got throwin’ up.,That person has vomiting.
Them kids got hot all night.,She has fever.
I bin talkin’ funny.,I have slurred speech.
He got talkin’ funny.,The child has slurred speech.
Me got cryin’ lot.,I have crying a lot.
Me got cryin’ lot.,I have crying a lot.
This one got can’t walk good.,This person has difficulty walking.
Lil one got eyes blurry.,She has blurred vision.
She got shiverin’.,That person has shivering.
My can’t see straight.,She has blurred vision.
Them kids got leg swell up.,I have swollen leg.
This one got skin itchy.,I have been experiencing itchy skin.
Old fella got skin rash.,This person has skin rash.
I bin body weak.,That person has body weakness.
Me got can’t see straight.,That person has blurred vision.
I bin heart go fast.,I have rapid heartbeat.
My sore throat.,The child has sore throat.
That one got skin rash.,The elderly man has skin rash.
Lil one got hot all night.,I have fever.
She got leg swell up.,That person has swollen leg.
That one got blood nose.,I have been experiencing nosebleed.
He got hungry all time.,My increased appetite.
I bin sore throat.,She has sore throat.
My shiverin’.,She has shivering.
He got vomit come up.,The child has vomiting.
He got ear sore.,The elderly man has earache.
My throwin’ up.,My vomiting.
Them kids got drink water plenty.,He has excessive thirst.
My shiverin’.,That person has shivering.
Me got eyes blurry.,The elderly man has blurred vision.
My skin rash.,My skin rash.
This one got head hurtin’.,I have headache.
Me got talkin’ funny.,I have slurred speech.
She got cough bad.,The child has severe cough.
Me got heart go fast.,The elderly man has rapid heartbeat.
My shiverin’.,The elderly man has shivering.
Me got skin itchy.,This person has itchy skin.
That one got chest tight.,My chest tightness.
He got chest tight.,This person has chest tightness.
He got vomit come up.,The children have vomiting.
That one got chest tight.,My chest tightness.
Lil one got vomit come up.,The child has vomiting.
Old fella got can’t see straight.,He has blurred vision.
Lil one got vomit come up.,That person has vomiting.
He got sore throat.,The children have sore throat.
Old fella got hungry all time.,The child has increased appetite.
This one got can’t see straight.,This person has blurred vision.
Me got skin rash.,This person has skin rash.
He got back sore.,I have back pain.
She got head hurtin’.,She has headache.
I bin belly pain.,This person has abdominal pain.
Old fella got blood nose.,The child has nosebleed.
My head hurtin’.,The child has headache.
He got body weak.,I have been experiencing body weakness.
This one got heart go fast.,That person has rapid heartbeat.
This one got blood nose.,That person has nosebleed.
She got can’t breathe good.,She has shortness of breath.
She got ear sore.,The elderly man has earache.
This one got heart go fast.,I have been experiencing rapid heartbeat.
Old fella got throwin’ up.,I have been experiencing vomiting.
I bin drink water plenty.,I have excessive thirst.
This one got skin itchy.,The elderly man has itchy skin.
This one got shiverin’.,She has shivering.
This one got shiverin’.,The elderly man has shivering.
My head hurtin’.,The elderly man has headache.
She got can’t see straight.,I have been experiencing blurred vision.
She got can’t breathe good.,I have been experiencing shortness of breath.
She got belly pain.,That person has abdominal pain.
She got skin rash.,The elderly man has skin rash.
I bin ear sore.,The elderly man has earache.
Lil one got body weak.,He has body weakness.
That one got skin rash.,She has skin rash.
That one got shiverin’.,That person has shivering.
He got talkin’ funny.,That person has slurred speech.
He got head hurtin’.,The elderly man has headache.
Old fella got cryin’ lot.,That person has crying a lot.
Them kids got drink water plenty.,That person has excessive thirst.
That one got can’t see straight.,I have been experiencing blurred vision.
I bin can’t walk good.,I have difficulty walking.
Me got eyes blurry.,The child has blurred vision.
This one got sore throat.,That person has sore throat.
This one got vomit come up.,The children have vomiting.
Lil one got hungry all time.,I have increased appetite.
Old fella got heart go fast.,The children have rapid heartbeat.
She got can’t see straight.,I have been experiencing blurred vision.
She got cryin’ lot.,My crying a lot.
I bin leg swell up.,My swollen leg.
She got cough bad.,He has severe cough.
I bin chest tight.,The children have chest tightness.
Me got sore throat.,The child has sore throat.
Lil one got back sore.,My back pain.
She got eyes blurry.,I have been experiencing blurred vision.
That one got heart go fast.,He has rapid heartbeat.
She got throwin’ up.,The child has vomiting.
Them kids got belly pain.,The elderly man has abdominal pain.
This one got leg swell up.,The children have swollen leg.
My belly pain.,She has abdominal pain.
She got head hurtin’.,This person has headache.
I bin head hurtin’.,I have headache.
Lil one got drink water plenty.,That person has excessive thirst.
She got back sore.,He has back pain.
My talkin’ funny.,I have slurred speech.
He got head hurtin’.,The children have headache.
That one got chest tight.,The child has chest tightness.
Old fella got throwin’ up.,That person has vomiting.
Me got talkin’ funny.,This person has slurred speech.
Old fella got can’t walk good.,She has difficulty walking.
Them kids got heart go fast.,The child has rapid heartbeat.
That one got belly pain.,That person has abdominal pain.
Old fella got shiverin’.,The children have shivering.
That one got talkin’ funny.,That person has slurred speech.
She got talkin’ funny.,The children have slurred speech.
That one got back sore.,I have back pain.
Old fella got heart go fast.,I have rapid heartbeat.
Lil one got hot all night.,She has fever.
She got hungry all time.,That person has increased appetite.
I bin shiverin’.,She has shivering.
She got ear sore.,I have been experiencing earache.
Lil one got hot all night.,This person has fever.
I bin blood nose.,The children have nosebleed.
This one got cryin’ lot.,The child has crying a lot.
Them kids got head hurtin’.,He has headache.
Them kids got ear sore.,She has earache.
He got hungry all time.,This person has increased appetite.
He got cough bad.,He has severe cough.
I bin throwin’ up.,I have vomiting.
That one got cryin’ lot.,I have crying a lot.
She got leg swell up.,The child has swollen leg.
She got chest tight.,She has chest tightness.
That one got back sore.,I have back pain.
This one got body weak.,The elderly man has body weakness.
She got body weak.,The child has body weakness.
She got ear sore.,The children have earache.
Lil one got cryin’ lot.,That person has crying a lot.
My vomit come up.,I have vomiting.
Old fella got cough bad.,I have been experiencing severe cough.
Old fella got talkin’ funny.,The child has slurred speech.
Me got body weak.,That person has body weakness.
Old fella got talkin’ funny.,That person has slurred speech.
I bin skin itchy.,That person has itchy skin.
My hungry all time.,She has increased appetite.
My vomit come up.,That person has vomiting.
He got throwin’ up.,This person has vomiting.
Old fella got ear sore.,I have been experiencing earache.
Old fella got can’t see straight.,I have blurred vision.
I bin head hurtin’.,I have been experiencing headache.
She got cough bad.,The child has severe cough.
I bin throwin’ up.,My vomiting.
I bin vomit come up.,That person has vomiting.
He got leg swell up.,She has swollen leg.
She got blood nose.,I have nosebleed.
That one got vomit come up.,The elderly man has vomiting.
Them kids got sore throat.,I have been experiencing sore throat.
He got hungry all time.,That person has increased appetite.
That one got leg swell up.,That person has swollen leg.
I bin shiverin’.,My shivering.
Lil one got can’t see straight.,That person has blurred vision.
This one got can’t see straight.,I have blurred vision.
She got hungry all time.,He has increased appetite.
She got body weak.,This person has body weakness.
She got throwin’ up.,The child has vomiting.
Me got ear sore.,I have been experiencing earache.
Old fella got hungry all time.,This person has increased appetite.
I bin leg swell up.,She has swollen leg.
Me got belly pain.,I have been experiencing abdominal pain.
She got hungry all time.,The children have increased appetite.
This one got can’t walk good.,He has difficulty walking.
Lil one got vomit come up.,That person has vomiting.
She got belly pain.,The child has abdominal pain.
This one got throwin’ up.,The children have vomiting.
My heart go fast.,This person has rapid heartbeat.
My talkin’ funny.,The children have slurred speech.
My cryin’ lot.,That person has crying a lot.
Old fella got head hurtin’.,That person has headache.
My body weak.,She has body weakness.
This one got chest tight.,My chest tightness.
This one got throwin’ up.,I have vomiting.
I bin vomit come up.,This person has vomiting.
She got head hurtin’.,This person has headache.
She got can’t breathe good.,That person has shortness of breath.
Them kids got skin itchy.,I have been experiencing itchy skin.
She got sore throat.,My sore throat.
Lil one got talkin’ funny.,This person has slurred speech.
Lil one got throwin’ up.,That person has vomiting.
Them kids got skin itchy.,I have been experiencing itchy skin.
My sore throat.,That person has sore throat.
That one got shiverin’.,I have been experiencing shivering.
Lil one got sore throat.,This person has sore throat.
That one got sore throat.,My sore throat.
I bin head hurtin’.,She has headache.
Lil one got can’t see straight.,My blurred vision.
Them kids got drink water plenty.,He has excessive thirst.
She got talkin’ funny.,My slurred speech.
He got heart go fast.,This person has rapid heartbeat.
Old fella got vomit come up.,The child has vomiting.
Lil one got hot all night.,The child has fever.
Old fella got hot all night.,The elderly man has fever.
My sore throat.,The child has sore throat.
She got can’t see straight.,My blurred vision.
He got sore throat.,This person has sore throat.
That one got leg swell up.,The elderly man has swollen leg.
Old fella got can’t see straight.,She has blurred vision.
Me got leg swell up.,The elderly man has swollen leg.
I bin blood nose.,That person has nosebleed.
Them kids got can’t see straight.,I have blurred vision.
That one got cryin’ lot.,He has crying a lot.
She got leg swell up.,I have been experiencing swollen leg.
He got back sore.,I have been experiencing back pain.
This one got cryin’ lot.,The elderly man has crying a lot.
He got chest tight.,The children have chest tightness.
He got belly pain.,I have abdominal pain.
Lil one got sore throat.,This person has sore throat.
I bin heart go fast.,That person has rapid heartbeat.
This one got head hurtin’.,He has headache.
She got blood nose.,He has nosebleed.
Old fella got throwin’ up.,This person has vomiting.
Lil one got back sore.,This person has back pain.
Me got shiverin’.,She has shivering.
That one got cryin’ lot.,The child has crying a lot.
Old fella got chest tight.,I have been experiencing chest tightness.
That one got eyes blurry.,The elderly man has blurred vision.
This one got drink water plenty.,I have been experiencing excessive thirst.
I bin throwin’ up.,The child has vomiting.
Old fella got vomit come up.,That person has vomiting.
My eyes blurry.,That person has blurred vision.
Them kids got cryin’ lot.,This person has crying a lot.
Me got ear sore.,My earache.
I bin chest tight.,I have been experiencing chest tightness.
Lil one got can’t see straight.,The elderly man has blurred vision.
Me got skin itchy.,This person has itchy skin.
He got skin rash.,I have skin rash.
Me got hungry all time.,I have been experiencing increased appetite.
This one got throwin’ up.,The elderly man has vomiting.
She got chest tight.,I have been experiencing chest tightness.
I bin can’t see straight.,That person has blurred vision.
I bin skin itchy.,I have itchy skin.
My skin itchy.,That person has itchy skin.
I bin body weak.,The children have body weakness.
Old fella got chest tight.,She has chest tightness.
Old fella got shiverin’.,The children have shivering.
Them kids got vomit come up.,She has vomiting.
Me got skin rash.,This person has skin rash.
That one got skin itchy.,This person has itchy skin.
He got eyes blurry.,The child has blurred vision.
This one got skin rash.,My skin rash.
This one got can’t breathe good.,He has shortness of breath.
Them kids got drink water plenty.,She has excessive thirst.
This one got blood nose.,I have been experiencing nosebleed.
Lil one got can’t walk good.,The children have difficulty walking.
Lil one got ear sore.,He has earache.
Lil one got skin itchy.,This person has itchy skin.
She got chest tight.,The child has chest tightness.
That one got vomit come up.,The elderly man has vomiting.
Old fella got skin rash.,She has skin rash.
Lil one got ear sore.,I have earache.
He got shiverin’.,This person has shivering.
He got ear sore.,I have been experiencing earache.
This one got back sore.,The children have back pain.
I bin skin rash.,I have been experiencing skin rash.
Lil one got drink water plenty.,The children have excessive thirst.
This one got belly pain.,The children have abdominal pain.
Me got skin itchy.,The child has itchy skin.
Me got eyes blurry.,He has blurred vision.
My eyes blurry.,I have blurred vision.
This one got blood nose.,He has nosebleed.
Me got drink water plenty.,This person has excessive thirst.
That one got hungry all time.,He has increased appetite.
Lil one got hungry all time.,The elderly man has increased appetite.
He got skin rash.,I have skin rash.
Lil one got skin rash.,The child has skin rash.
Old fella got blood nose.,The child has nosebleed.
She got cough bad.,The child has severe cough.
Lil one got drink water plenty.,He has excessive thirst.
Them kids got shiverin’.,He has shivering.
Them kids got chest tight.,That person has chest tightness.
This one got leg swell up.,I have swollen leg.
Me got sore throat.,I have been experiencing sore throat.
This one got skin rash.,He has skin rash.
Them kids got can’t breathe good.,My shortness of breath.
My leg swell up.,I have swollen leg.
That one got heart go fast.,The children have rapid heartbeat.
Lil one got cough bad.,The elderly man has severe cough.
He got throwin’ up.,This person has vomiting.
This one got can’t walk good.,I have been experiencing difficulty walking.
Them kids got hot all night.,This person has fever.
That one got can’t breathe good.,The child has shortness of breath.
Old fella got sore throat.,The child has sore throat.
Me got body weak.,The elderly man has body weakness.
I bin leg swell up.,The child has swollen leg.
That one got throwin’ up.,He has vomiting.
That one got cough bad.,I have severe cough.
She got head hurtin’.,The children have headache.
Old fella got can’t breathe good.,I have been experiencing shortness of breath.
My leg swell up.,He has swollen leg.
She got head hurtin’.,I have been experiencing headache.
My can’t walk good.,I have been experiencing difficulty walking.
This one got blood nose.,My nosebleed.
My chest tight.,My chest tightness.
Me got can’t see straight.,The elderly man has blurred vision.
He got shiverin’.,This person has shivering.
He got talkin’ funny.,My slurred speech.
Them kids got blood nose.,My nosebleed.
She got heart go fast.,I have been experiencing rapid heartbeat.
That one got ear sore.,That person has earache.
Them kids got belly pain.,I have been experiencing abdominal pain.
Me got can’t see straight.,She has blurred vision.
I bin belly pain.,This person has abdominal pain.
She got shiverin’.,I have been experiencing shivering.
Them kids got leg swell up.,She has swollen leg.
Me got vomit come up.,This person has vomiting.
That one got talkin’ funny.,This person has slurred speech.
Me got body weak.,The child has body weakness.
She got can’t walk good.,That person has difficulty walking.
She got throwin’ up.,She has vomiting.
Lil one got can’t see straight.,This person has blurred vision.
She got back sore.,I have been experiencing back pain.
Me got vomit come up.,I have vomiting.
This one got throwin’ up.,My vomiting.
He got heart go fast.,The child has rapid heartbeat.
I bin cryin’ lot.,The elderly man has crying a lot.
Lil one got can’t walk good.,The child has difficulty walking.
She got can’t see straight.,My blurred vision.
He got can’t breathe good.,I have shortness of breath.
